,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
28965,apple,"The Woodlands, TX",Current Employee - Mac Specialist (Apple Store),3.0,4.0,4.1,2.5,2.0,2.0,2,2009.0
28966,apple,"New York, NY",Former Employee - Sales,4.0,4.0,4.1,4.0,4.0,3.0,1,2009.0
28967,apple,"Cupertino, CA",Former Employee - Director,2.0,2.5,4.1,2.0,4.0,2.0,6,2009.0
28968,apple,"Cupertino, CA",Current Employee - Software Engineer II,5.0,4.5,4.1,4.0,3.0,4.5,4,2009.0
28969,apple,"Cupertino, CA",Former Employee - Senior Software Engineer,3.0,3.5,4.1,3.5,4.0,3.5,5,2009.0
28970,apple,"Short Hills, NJ",Current Employee - Creative (Apple Store),4.0,3.0,4.1,3.0,4.5,3.0,1,2009.0
28971,apple,"Phoenix, AZ",Current Employee - Genius,5.0,5.0,4.1,5.0,5.0,5.0,1,2009.0
28972,apple,"Atlanta, GA",Current Employee - Market Development,4.0,4.0,4.1,4.0,4.0,4.0,0,2009.0
28973,apple,"Short Hills, NJ",Former Employee - Mac Specialist (Apple Store),4.0,2.0,4.1,3.5,4.0,3.5,0,2009.0
28974,apple,"Knoxville, TN",Former Employee - Genius,2.0,2.5,4.1,2.5,4.0,1.0,2,2009.0
28975,apple,"Santa Clara, CA",Current Employee - Mac Specialist (Apple Store),3.0,3.0,4.1,3.0,3.5,3.0,3,2009.0
28976,apple,"Cupertino, CA",Current Employee - Software Quality Assurance,4.0,5.0,4.1,3.0,3.0,3.0,1,2009.0
28977,apple,"Wayne, NJ",Current Employee - Mac Specialist,3.0,3.0,4.1,3.0,4.0,2.0,2,2009.0
28978,apple,"Dallas, TX",Former Employee - Assistant Store Manager,4.0,4.5,4.1,4.0,3.5,2.5,1,2009.0
28979,apple,"Fort Worth, TX",Current Employee - Mac Specialist (Apple Store),4.0,5.0,4.1,4.0,2.5,4.0,0,2009.0
28980,apple,"Cupertino, CA",Current Employee - Senior Software Engineer,4.0,3.5,4.1,3.5,4.0,4.0,6,2009.0
28981,apple,"Reno, NV",Current Employee - Anonymous Employee,5.0,4.5,4.1,3.0,4.0,4.0,0,2009.0
28982,apple,"Miami Beach, FL",Current Employee - Mac Specialist (Apple Store),4.0,4.0,4.1,4.0,3.0,3.0,0,2009.0
28983,apple,"Cupertino, CA",Current Employee - Software QA Engineer,5.0,5.0,4.1,3.5,4.5,5.0,3,2009.0
28984,apple,"Atlanta, GA",Former Employee - Concierge,2.0,2.5,4.1,2.0,3.0,1.0,3,2009.0
28985,apple,"Cupertino, CA",Current Employee - Product Design Engineer,4.0,1.0,4.1,4.0,3.0,2.0,6,2009.0
28986,apple,"Ann Arbor, MI",Former Employee - Mac Specialist (Apple Store),4.0,3.0,4.1,4.5,2.5,3.0,0,2009.0
28987,apple,"Broomfield, CO",Former Employee - Mac Specialist (Apple Store),4.0,3.5,4.1,3.5,4.0,3.0,0,2009.0
28988,apple,"Cupertino, CA",Current Employee - Senior Engineer,2.0,1.5,4.1,3.0,2.5,2.5,4,2009.0
28989,apple,"Bellevue, WA",Current Employee - Mac Specialist (Apple Store),3.0,3.5,4.1,2.5,3.0,2.0,1,2009.0
28990,apple,"Cupertino, CA",Current Employee - Manager,4.0,3.0,4.1,3.0,4.0,4.0,0,2009.0
28991,apple,"Los Angeles, CA",Current Employee - Specialist,5.0,5.0,4.1,5.0,5.0,5.0,0,2009.0
28992,apple,"Chicago, IL",Current Employee - Account Executive,4.0,4.0,4.1,3.5,4.0,4.0,1,2009.0
28993,apple,"Cupertino, CA",Former Employee - Operations/Projects,4.0,2.5,4.1,3.5,4.0,5.0,3,2009.0
28994,apple,"Jackson, MS",Current Employee - Mac Specialist (Apple Store),5.0,5.0,4.1,5.0,5.0,5.0,0,2009.0
28995,apple,"San Jose, CA",Former Employee - Mac Specialist (Apple Store),4.0,3.5,4.1,3.0,3.0,2.5,0,2009.0
28996,apple,"Boston, MA",Current Employee - Concierge,4.0,3.5,4.1,2.5,2.5,3.0,0,2009.0
28997,apple,"Cupertino, CA",Current Employee - Account Executive,2.0,2.0,4.1,3.0,2.0,3.0,9,2009.0
28998,apple,"Cupertino, CA",Current Employee - QA Engineer,4.0,4.5,4.1,4.0,4.5,2.0,1,2009.0
28999,apple,"Cupertino, CA",Current Employee - Anonymous Employee,3.0,1.5,4.1,4.0,2.0,4.0,6,2009.0
29000,apple,"Cupertino, CA",Former Employee - Writer,5.0,4.5,4.1,4.5,5.0,4.0,3,2009.0
29001,apple,"San Francisco, CA",Current Employee - Mac Genius,5.0,3.0,4.1,4.0,4.0,5.0,0,2009.0
29002,apple,"San Antonio, TX",Current Employee - Mac Genius,5.0,5.0,4.1,5.0,5.0,5.0,0,2009.0
29003,apple,"Cupertino, CA",Current Employee - Non-Disclosurable,4.0,2.5,4.1,4.0,3.0,5.0,0,2009.0
29004,apple,"Cupertino, CA",Current Employee - Lead Software Engineer,4.0,3.0,4.1,4.0,4.0,4.0,6,2008.0
29005,apple,"Jackson, MS",Former Employee - Business Partner,4.0,5.0,4.1,4.0,4.5,4.0,1,2009.0
