,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
21093,facebook,"Menlo Park, CA",Current Employee - Technical Recruiter,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21094,facebook,"Menlo Park, CA",Current Employee - Technical Recruiter,4.0,4.0,5.0,4.0,4.0,4.0,0,2018.0
21095,facebook,"Menlo Park, CA",Current Employee - Software Engineer,5.0,4.0,4.0,5.0,5.0,4.0,1,2018.0
21096,facebook,"New York, NY",Current Employee - Recruiter,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
21097,facebook,"Menlo Park, CA",Current Employee - Reception Associate,5.0,5.0,5.0,5.0,5.0,4.0,0,2018.0
21098,facebook,"West Menlo Park, CA",Current Employee - Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,2,2018.0
21099,facebook,"Menlo Park, CA",Former Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,4.0,4,2018.0
21100,facebook,"Menlo Park, CA",Current Employee - Instructional Designer,5.0,5.0,5.0,4.0,5.0,5.0,0,2018.0
21101,facebook,"New York, NY",Current Employee - Customer Service Agent,3.0,4.0,4.0,4.0,4.0,5.0,0,2018.0
21102,facebook,"Austin, TX",Current Employee - Account Manager,5.0,5.0,5.0,5.0,3.0,5.0,0,2018.0
21103,facebook,"Menlo Park, CA",Current Employee - Quantitative Researcher,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21104,facebook,"Menlo Park, CA",Current Employee - Project Manager,5.0,3.0,5.0,5.0,5.0,4.0,6,2018.0
21105,facebook,"New York, NY",Current Employee - Client Partner,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21106,facebook,"Boston, MA",Current Employee - University Recruiter,5.0,5.0,5.0,4.0,5.0,5.0,3,2018.0
21107,facebook,"New York, NY",Current Employee - Software Engineer,5.0,3.0,5.0,5.0,5.0,4.0,14,2018.0
21108,facebook,"New York, NY",Current Employee - Operations Specialist,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
21109,facebook,"Menlo Park, CA",Current Employee - Product Manager,4.0,2.0,5.0,4.0,4.0,4.0,1,2018.0
21110,facebook,"Menlo Park, CA",Current Employee - Product Marketing Manager,5.0,3.0,4.0,5.0,4.0,4.0,3,2018.0
21111,facebook,"Menlo Park, CA",Current Employee - Art Director,5.0,3.0,5.0,5.0,5.0,5.0,2,2018.0
21112,facebook,"Menlo Park, CA",Current Employee - Product Quality Analyst,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21113,facebook,"Seattle, WA",Current Employee - Anonymous Employee,4.0,3.0,4.0,4.0,5.0,4.0,0,2018.0
21114,facebook,"San Francisco, CA",Current Employee - Enterprise Account Executive,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
21115,facebook,"Cambridge, MA",Current Employee - Software Engineer,1.0,1.0,1.0,1.0,5.0,1.0,55,2018.0
21116,facebook,"Menlo Park, CA",Former Employee - Anonymous Employee,1.0,1.0,1.0,3.0,5.0,2.0,15,2018.0
21117,facebook,"Menlo Park, CA",Current Employee - University Recruiter,5.0,5.0,5.0,5.0,5.0,5.0,4,2018.0
21118,facebook,"Menlo Park, CA",Current Employee - Technical Program Manager,4.0,3.0,5.0,5.0,5.0,3.0,0,2018.0
21119,facebook,"New York, NY",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,5,2018.0
21120,facebook,"Cambridge, MA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21121,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,1.0,5.0,4.0,0,2018.0
21122,facebook,"Somerset, NJ",Current Employee - Software Engineer,4.0,3.9,4.5,4.4,4.6,4.3,0,2018.0
21123,facebook,"Menlo Park, CA",Current Employee - Marketing Manager,5.0,5.0,5.0,5.0,5.0,5.0,3,2018.0
21124,facebook,"Austin, TX",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
21125,facebook,"Menlo Park, CA",Current Employee - Data Scientist,5.0,4.0,5.0,5.0,5.0,5.0,6,2018.0
